lindt;Maldives;815;1947;426.25;631.83;636;4;31;58
alpen gold;Samoa;1000;1996;98.96;764.15;487;9;21;53
pobeda vkusa;Mozambique;85;1936;476.47;306.44;472;4;35;71
dove;Hong Kong;105;2022;726.44;995.61;530;4;25;57
ritter sport;American Samoa;707;2013;172.48;578.5;590;10;29;53
babaevskiy;Anguilla;72;1988;505.84;414;571;9;32;71
rossiya;Brazil;307;1965;192.72;44.73;470;2;35;51
eco botanica;Barbados;804;1931;696.97;884.33;627;7;34;75
milka;South Africa;354;1983;224.28;443.3;616;8;31;50
alenka;Estonia;540;1936;482.94;144.15;467;10;30;76
nesquik;Cape Verde;856;1932;241.79;346.18;405;2;20;71
nestle;Liechtenstein;513;2016;842.34;333.36;461;9;25;74
vozdushnyy;French Guiana;239;1993;280.36;768.58;511;8;24;44
schogetten;Romania;92;1975;54.14;624.24;664;3;27;70
korkunov;Ethiopia;169;1952;969.22;781.39;622;8;32;40
tobleron;Montserrat;999;1989;848.37;730.06;502;9;27;49
